altitude,availableBikes,availableDocks,city,id,is_renting,kioskType,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,status,statusKey,statusValue,testStation,totalDocks
0.0,19,8,Chicago,56,True,True,Chicago,2019-07-13 23:10:15,41.888716036,Chicago,-87.6444478533,60602,Chicago,Chicago,Desplaines St & Kinzie St,IN_SERVICE,1,IN_SERVICE,False,27
0.0,1,14,Chicago,57,True,True,Chicago,2019-07-13 22:56:00,41.8671177825,Chicago,-87.6410879593,60602,Chicago,Chicago,Clinton St & Roosevelt Rd,IN_SERVICE,1,IN_SERVICE,False,15
0.0,4,17,Chicago,58,True,True,Chicago,2019-07-13 22:59:10,41.916017,Chicago,-87.668879,60602,Chicago,Chicago,Marshfield Ave & Cortland St,IN_SERVICE,1,IN_SERVICE,False,23
0.0,16,7,Chicago,59,True,True,Chicago,2019-07-13 23:09:03,41.867227,Chicago,-87.625961,60602,Chicago,Chicago,Wabash Ave & Roosevelt Rd,IN_SERVICE,1,IN_SERVICE,False,23
0.0,11,5,Chicago,60,True,True,Chicago,2019-07-13 22:55:02,41.9105780349,Chicago,-87.6494219288,60602,Chicago,Chicago,Dayton St & North Ave,IN_SERVICE,1,IN_SERVICE,False,19
0.0,16,1,Chicago,61,True,True,Chicago,2019-07-13 23:07:54,41.907655,Chicago,-87.672552,60602,Chicago,Chicago,Wood St & Milwaukee Ave,IN_SERVICE,1,IN_SERVICE,False,19
0.0,17,8,Chicago,62,True,True,Chicago,2019-07-13 23:09:53,41.8513751729,Chicago,-87.6188346489,60602,Chicago,Chicago,McCormick Place,IN_SERVICE,1,IN_SERVICE,False,27
0.0,8,11,Chicago,66,True,True,Chicago,2019-07-13 22:57:02,41.885637,Chicago,-87.641823,60602,Chicago,Chicago,Clinton St & Lake St,IN_SERVICE,1,IN_SERVICE,False,23
0.0,21,3,Chicago,67,True,True,Chicago,2019-07-13 23:11:03,41.9256018819,Chicago,-87.6537080423,60602,Chicago,Chicago,Sheffield Ave & Fullerton Ave,IN_SERVICE,1,IN_SERVICE,False,27
0.0,5,18,Chicago,68,True,True,Chicago,2019-07-13 22:56:17,41.875885,Chicago,-87.640795,60602,Chicago,Chicago,Clinton St & Tilden St,IN_SERVICE,1,IN_SERVICE,False,23
0.0,20,3,Chicago,69,True,True,Chicago,2019-07-13 23:08:58,41.9093960065,Chicago,-87.6776919292,60602,Chicago,Chicago,Damen Ave & Pierce Ave,IN_SERVICE,1,IN_SERVICE,False,23
0.0,15,7,Chicago,71,True,True,Chicago,2019-07-13 22:57:58,41.8854833079,Chicago,-87.6523048564,60602,Chicago,Chicago,Morgan St & Lake St,IN_SERVICE,1,IN_SERVICE,False,23
